carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
12000,merc, GLS Class,2017,Automatic,12046,Diesel,150,37.2,3,38000
12001,vw, Amarok,2017,Automatic,37683,Diesel,260,36.2,3,23495
12002,hyundi, Santa Fe,2017,Semi-Auto,32467,Diesel,235,42.8,2.2,18991
12003,vw, Arteon,2019,Automatic,1555,Petrol,145,40.4,1.5,22500
12004,merc, GLS Class,2019,Automatic,10000,Diesel,145,34,3,59999
12005,toyota, Verso,2003,Automatic,104000,Petrol,300,34.5,1.8,2395
12006,ford, Grand C-MAX,2018,Manual,5113,Petrol,145,47.9,1,14000
12007,bmw, X6,2019,Automatic,9010,Diesel,145,34.9,3,58700
12008,toyota, Prius,2016,Automatic,32853,Hybrid,10,64.2,1.8,22995
12009,toyota, Supra,2019,Semi-Auto,1000,Petrol,145,34.5,3,49991
12010,toyota, PROACE VERSO,2019,Automatic,5,Diesel,145,38.7,2,27998
12011,vw, Caravelle,2015,Semi-Auto,55000,Diesel,300,37.2,2,25995
12012,ford, Mustang,2020,Manual,50,Petrol,145,23.9,5,48000
12013,skoda, Scala,2019,Manual,3257,Petrol,145,49.6,1,16713
12014,merc, GLS Class,2020,Semi-Auto,3999,Diesel,145,30.4,3,67480
12015,ford, Grand C-MAX,2019,Manual,7570,Petrol,145,47.9,1,14450
12016,bmw, 6 Series,2016,Semi-Auto,25596,Diesel,200,49.6,3,22910
12017,audi, RS6,2015,Semi-Auto,20982,Petrol,325,29.4,4,46000
12018,toyota, Avensis,2016,Automatic,20251,Petrol,145,46.3,1.8,12498
12019,vauxhall, Combo Life,2020,Semi-Auto,1950,Petrol,145,40.4,1.2,24995
12020,merc, GL Class,2016,Manual,26809,Diesel,20,67.3,2.1,15699
12021,merc, S Class,2018,Semi-Auto,12955,Diesel,145,52.3,3,41632
12022,vauxhall, GTC,2016,Manual,17887,Petrol,160,47.1,1.4,10590
12023,skoda, Rapid,2017,Manual,8706,Petrol,150,61.4,1,10990
12024,merc, CLS Class,2015,Semi-Auto,33087,Diesel,165,51.4,3,20498
12025,merc, CLS Class,2019,Semi-Auto,3418,Diesel,145,47.9,2.9,45699
12026,merc, CLS Class,2016,Automatic,54195,Diesel,165,49.6,3,18900
12027,toyota, Prius,2019,Automatic,4793,Hybrid,140,64.2,1.8,23995
12028,vw, Amarok,2020,Automatic,5000,Diesel,265,33.6,3,34995
12029,vw, Amarok,2019,Automatic,12023,Diesel,260,28.3,3,32888
12030,toyota, Verso,2017,Manual,31756,Diesel,145,62.8,1.6,11498
12031,merc, V Class,2019,Automatic,10,Diesel,145,45.6,2.2,50640
12032,hyundi, I800,2018,Automatic,21600,Diesel,150,33.6,2.5,16790
12033,audi, A7,2014,Semi-Auto,29319,Diesel,145,54.3,3,19800
12034,vw, Tiguan Allspace,2019,Semi-Auto,6515,Petrol,145,35.8,1.5,29990
12035,toyota, Prius,2019,Automatic,3650,Hybrid,140,217.3,1.8,27999
12036,skoda, Rapid,2018,Manual,12231,Petrol,145,62.8,1,7995
12037,ford, Galaxy,2018,Semi-Auto,42164,Diesel,145,52.3,2,18999
